5/2/2024,"FINSHORE PREMIUM FIN     VANCOUVER    BC ",-47.57
5/2/2024,"          FROM - *****05*3553 ",70.00
5/9/2024,"APPLE.COM/BILL           866-712-7753 ON ",-14.68
5/10/2024,"          FROM - *****05*3553 ",30.00
5/15/2024,"SCOTIA SCCP PREMIUM ",-0.55
5/19/2024,"APPLE.COM/BILL           866-712-7753 ON ",-7.90
5/21/2024,"FREEDOM MOBILE           877-946-3184 ON ",-93.00
5/22/2024,"          FROM - *****05*3553 ",150.00
5/24/2024,"          FROM - *****11*4986 ",100.00
5/24/2024,"PlayStation Network      207-8595714  CA ",-38.41
5/24/2024,"PlayStation Network      207-8595714  CA ",-75.70
